ApplicationNumber,ApprovalNumber,HotelName,Address,City,State,NodalOfficerName,MobileNumber,PhoneNumber,Email,Website,Category,SubCategory,TotalRooms,StartDate,ExpiryDate
150618AS4254,181023AS4421,Spring Brook Resorts,"Anarachal,Kumily,Peermedu, Idukki 685509",Thekkady,Kerala,Jayaraj,9946010013,9447527750,jayarajthannimangalam@gmail.com,springbrookresorts.com,Star Category,4 Star With Alcohol,42,31/10/2018,30/10/2023
100117AS4275,0101014SA103,MURALYA HOTEL,"Survey No. 3016, Extra Police Road, Palayam, Thiruvananthapuram",Thiruvananthapuram,Kerala,Krishna Kumar,9891506333,0471-2333304-06,gkris2007@gmail.com,,Star Category,4 Star With Alcohol,109,28/03/2017,27/03/2022
130116ASD476,0101015SA014,The Tamara Trivandrum Project,"Survey no. 1889 & parts, Kadakampally Village, Opposite World Market, Kadakampally, NH bypass, Trivananthapuram 695029",Thiruvananthapuram,Kerala,Thiagarajan S,9845045460,09845045460,thiags@iinnovations.com,www.thetamara.com,Star Category,5 Star With Alcohol,240,27/10/2016,26/10/2021
050118AS5592,180323AS5054,BLUE SERENE RESORTS (A UNIT OF KARUVANTHALA HOTELS AND RESORTS PRIVATE LIMITED),"KARUVANTHALA-CHAKKUMKANDAM ROAD, THOYAKKAVU.P.O, THRISSUR DISTRICT-680513, KERALA STATE 680513",Thrissur,Kerala,DILEEP.T.P,8086123000,04872262100,resorts.riverview@gmail.com,http://bluesereneresorts.com/,Star Category,5 Star With Alcohol,40,13/03/2018,12/03/2023
231117ASA482,180523ASA195,LULU INTERNATIONAL CONVENTION CENTER PVT.LTD,"Lulu International Convention center Pvt.ltd.CIN NO U52190KL2004PTC017418.REGISTERED OFFICE ,PUZHAKKAL,AYYANTHOLE,THRISSUR,KERALA 680003",Thrissur,Kerala,NISHAD M.A,9846086132,04873011111,luluicc@luluicc.in,www.lulugroupinternational.com,Star Category,5 Star Without Alcohol,83,11/05/2018,10/05/2023
050719AS5170,190924AS5961,Taj Bhopal,"Khasra No. 276-3 and 40-3 Village Khasra , Sultanabad, District: Bhopal 462003",Bhopal,Madhya Pradesh,KHEMCHAND FAUZDAR,9871087188,07554029999,genexhotels.org@gmail.com,www.dilipbuildcon.com,Star Category,5 Star With Alcohol,150,01/10/2019,30/09/2024
081215AS4310,0101014SA202,KALINDI BARTER PRIVATE LIMITED,"PLOT NO-18 CCA SCH.NO.94,RING ROAD,MALVIYA SQUARE INDORE,M.P. PIN-452010 452010",Indore,Madhya Pradesh,SANJAY TIWARI,9824064766,0731-4080970,dheshipping@vsnl.net,,Star Category,4 Star With Alcohol,106,19/04/2016,18/04/2021
121118AS3598,190724AS3843,The Aanandam,"Itarsi-Hoshangabad Road, Gram Raisalpur, Itarsi, Dist. Hoshangabad 461111",Itarsi,Madhya Pradesh,Sunil Gothi,9425010777,07572236005,chetan.gothi@gmail.com,www.theaanandam.in,Star Category,3 Star,50,23/07/2019,22/07/2024
150616AS5299,180323AS5039,Rewa Hotel,"The Royal Estates , Near  VTL ITI, Rewa Satna Road, N.H.-7, Chorhata, Rewa, M.P. 486001",Rewa,Madhya Pradesh,Rajan Sharma,9009255640,9009255640,spcon@hotmail.com,www.anuraj.in,Star Category,5 Star With Alcohol,90,02/03/2018,01/03/2023
060718AS5321,181123AS5447,THE OBEROI WILDLIFE RESORT BANDHAVGARH,"KHASRA NO. 30, VILLAGE SARMANIYA, TEHSIL MANPUR, DISTRICT UMARIA Umaria 484665",Umaria,Madhya Pradesh,Ms. Vijay Sharma,8826726699,011-41708671,vijay.sharma@oberoigroup.com,N.A.,Star Category,5 Star With Alcohol,22,26/11/2018,25/11/2023
050718AS4315,180823AS4329,LEMON TREE PREMIER ( A UNIT OF IORA HOTELS (P) LTD.),"PLOT NO. NS C-04, GVK SKY CITY, C.T.S NO. 145A, VILLAGE SAHAR ROAD, CSI AIRPORT, MUMBAI - 400 099 (MAHASHTRA) 400099",Andheri (East),Maharashtra,SURINDER SHUKLA,9810184189,9810184189,SURINDER.SHUKLA@GREYFOXPROJECTS.COM,WWW.LEMONTREEHOTELS.COM,Star Category,4 Star With Alcohol,577,28/08/2018,27/08/2023
071116AS2118,170522AS2001,HOTEL RAJDOOT ROYALE RESIDENCY LLP,"C.S.No.23408 , Station Road , Ichalkaranji , Tal :- Hatkanangle,   Dist :- Kolhapur 416115",Ichalkaranji,Maharashtra,Sharath Shetty,8605016339,08605016339,sharath.shetty50@yahoo.in,,Star Category,2 Star,12,02/05/2017,01/05/2022
210815AS3615,0101013SA005,HOTEL  VATESHWAR,"CS NO-517 A/1, E WARD NEAR  CBS STAND KOLHAPUR 416001",Kollhapur,Maharashtra,Mr. Sambhaji A. Patil,9921069208,8237145396,spatilkop@gmail.com,,Star Category,3 Star,27,22/12/2016,21/12/2021
301118AS5654,190224AS5610,PADMAVATI MOTELS  RESORTS PRIVATE LIMITED,"PLOT NO 462-B, E WARD, OPP. SHAHU MARKET YARD, KOLHAPUR 416003. 416003",Kollhapur,Maharashtra,SAMBHAJI PATIL,9921069208,02312657333,spatilkop@gmail.com,veeksarhotels@yahoo.in,Star Category,5 Star With Alcohol,86,28/02/2019,27/02/2024
180219AS3132,190424AS3713,Agarwal Hospitality Pvt. Ltd.,"S. No. 84 1-4 , Mauje Valvan, Taluka- Maval",Lonavala,Maharashtra,Ashish Agarwal,9769877433,9769877433,ashish@agarwalgroup.net.in,www.agarwalgroup.net.in,Star Category,3 Star,80,26/04/2019,25/04/2024
071117AS3438,171222AS3004,CHINTAMANI HOTELS PVT LTD,"MUMBAI PUNE HIGHWAY, LONAVALA 410401",Lonavala,Maharashtra,RAJESH GUPTA,9820033459,02228836261,md.rg@whitespice.com,,Star Category,3 Star,51,02/12/2017,01/12/2022
140319AS3300,190924AS3950,FORTUNE INTERNATIONAL,PLOT NO  20 CTS 20 SC 201 WARD B LONAVALA TALUKA MAVAL  DISTRICT PUNE  410401,Lonavala,Maharashtra,ASHWINKUMAR DEEPAK HEMNANI,9763855530,9763855530,ashwinhemnani@gmail.com,ashwinhemnani@gmail.com,Star Category,3 Star,32,11/09/2019,10/09/2024
170118AS3627,180423AS3145,Monarch hospitality,"S.no. - 36, hissa no.2A, plot No. - 20, 21, 27, 28, 29, village - tungarli, tal - maval, Lonavala, dist - pune",Lonavala,Maharashtra,rajeev jain,9930213133,9930213133,ab.infinity.in@gmail.com,,Star Category,3 Star,34,20/04/2018,19/04/2023
150317AS3445,180423AS3113,Three Star Hotel,"Survey No. 110, Part CTS No. 65-2, H ward, Lonavala 410401",Lonavala,Maharashtra,Ar. Vishal Shah,9167221982,022-27832130,vishal@thefirmassociates.com,,Star Category,3 Star,38,06/04/2018,05/04/2023
051218AS3669,190724AS3842,Valley Vista Grand,"SR.NO.-108(P)109 PLOT NO. 9 KUNEMANA, TAL. MAVAL, DIST. PUNE.",Lonavala,Maharashtra,Deepesh P Bhurat,9890191414,9890191414,landmarkplanners@rediffmail.com,www.valleyvistakhandala.com,Star Category,3 Star,39,23/07/2019,22/07/2024
150216AS3680,0101013SA027,Kiran Lifespaces LLP,"Gat no. 160, Shiltane, Taluka Maval, District Pune 410405",Lonavla,Maharashtra,Mr. Rishi Ashok Thakural,9167275596,9167275596,projects91@yahoo.com,www.kiranrealty.com,Star Category,3 Star,106,12/01/2017,11/01/2022
181218AS5705,190124AS5551,"Hilton Garden Inn - Hinjewadi, Pune","Survey No. 40 Hissa No. 3, of Village Hinjevadi Taluka Mulshi, District Pune 411057",Mulshi,Maharashtra,Samir Shah,9820198222,9820198222,sam5895@gmail.com,www.alexishospitality.com,Star Category,5 Star With Alcohol,22,28/01/2019,27/01/2024
060618AS3230,180923AS3334,"Balwa Group, Airport Hotel at T2","Plot Bearing CTS No. 783-12A, 783-12B of Village Mohili, Kurla West, Mumbai  400072",Mumbai,Maharashtra,Hussein Balwa,9821884267,24360000,hussein@balwagroup.com,www.balwagroup.com,Star Category,3 Star,44,04/09/2018,03/09/2023
290519AS5819,190824AS5902,Fairmount Mumbai Shrem,"CTS. No. 1405(pt) of Plot No. T2-C06 of (MIAL) Village Marol, Andheri(East) 400099",Mumbai,Maharashtra,Rajesh Todi,9619888346,09619888346,rajeshtodi@shrem.in,www.shrem.in,Star Category,5 Star With Alcohol,663,19/08/2019,18/08/2024
010816ASD725,170522AS5003,The Ritz-Carlton Mumbai,"Dr. Annie Besant Road & Sadanand Hasu Tandel Marg, G-South Ward, Worli 400025",Mumbai,Maharashtra,Mr. Amit Wadkar,9820426180,022-66773350,oasishotel@oberoirealty.com,www.oberoirealty.com,Star Category,5 Star With Alcohol,221,26/05/2017,25/05/2022
150715AS3386,0101013SA099,THE BERAR TIGER RETREAT (a unit of Royale Blue Resorts India Private Limited),"Khasra No.41,144,152,154,155 & 40/2.AT MOUZA CHETI,TEHSIL CHIMUR, DIST. CHANDRAPUR, NEAR TADOBA ANDHERI TIGER RESERVE,MAHARASHTRA 440022",Nagpur,Maharashtra,SATYAJIT WACHASUNDER,9923306633,07122220895,info@royaleblueresorts.com,www.royaleblueresorts.com,Star Category,3 Star,36,20/01/2016,19/01/2021
120715AS3351,0101013SA068,CMP Hospitality's Hotel Project,"CMP Hospitality, S. No. 881/882/883, Rajiv Nagar, Chadda Chowk, Off Mumbai Agra Road 422009",Nashik,Maharashtra,Maharu Vitthal Patil,9730199215,0253-2321253,cmphospitality@gmail.com,,Star Category,3 Star,45,27/11/2015,26/11/2020
270318AS3879,180923AS3373,E and G GLOBAL ESTATES LTD,"GAT NO -65,66,86,93,101,104, AT & POST KHAROLI, TALUKA - TRIMBAKESHWAR, DISTRICT- NASHIK, MAHARASHTRA",Nashik,Maharashtra,Dnyaneshwar Vana Chaudhari,9822059460,0253-2311879,eandg2018@gmail.com,NA,Star Category,3 Star,152,25/09/2018,24/09/2023
180418AS3967,151120AS3169,Hotel Grand Rio (A Unit of CMP Hospitality),"S. NO- 881-2-PLOT NO -3, RAJIV NAGAR, CHADDA CHOWK, OFF MUMBAI AGRA ROAD Nashik 422009",Nashik,Maharashtra,Chetan Maharu Patil,9970577111,02536652222,cmphospitality@gmail.com,www.grandriohotels.com,Star Category,3 Star,45,27/11/2015,26/11/2020
220618AS3276,190324AS3635,NEELKANTH LEISURE LLP,"GAT NO.:68-1, NEAR SAPUTARA, VILLAGE: HATGAD, TEHSIL: SURGANA, DISTRICT: NASIK, MAHARASHTRA-422211  422211",Nashik,Maharashtra,JAYESHBHAI DIHORA,9924526000,09924526000,jaydihora70@gmail.com,,Star Category,3 Star,84,18/03/2019,17/03/2024
080917AS4272,180823AS4330,COURTYARD MARRIOTT,"S.NO. 514A1+21TO191, PLOT NO. 1+2+5+6+7+8+9, NEAR WOCKHARDT HOSPITAL, MUMBAI NAK, MUMBAI AGRA HIGHWAY, VILLAGE NASHIK, TALUKA & DIST. NASHIK 422011 422011",Nashik,Maharashtra,MR. KUNAL SONAWANE,9011037662,02532418080,kunal.sonawane@samraatgroup.com,www.samraatgroup.com,Star Category,4 Star With Alcohol,113,28/08/2018,27/08/2023
110817AS1209,190724AS1828,7 Apple Hotel,"Plot No. General - 72-1-B, TTC Industrial Estate, Mahape, Navi Mumbai 400710",Navi Mumbai,Maharashtra,Mr. Dhananjay Patil,7838498667,7838498667,info@7applehotels.com,www.7applehotels.com,Star Category,1 Star,60,16/07/2019,15/07/2024
060717AS5994,190224AS5592,WASAN HOSPITALITY PRIVATE LIMITED,"D -40 1,MIDC TTC INDUSTRIAL ESTATE, NAVI MUMBAI  400702",Navi Mumbai,Maharashtra,IMRAN KAZI,9702925552,9702925552,imrankazi1@wasanonline.com,,Star Category,5 Star With Alcohol,146,19/02/2019,18/02/2024
030815ASD522,0101013SA002,Address:Bramha Leisure Pvt. Ltd.,"Bramha House, 250-251, MG Road, Camp, Pune,  Pin:411 001 411001",Pune,Maharashtra,Vishal Agrawal,9823406060,020-26330485,vishal574@yahoo.co.in,www.bramharealtyinfra.com,Star Category,3 Star,29,13/08/2015,12/08/2020
031115ASD104,0101013SA362,Grand Tamanna Hotel,"Plot No.16, Rajiv Gandhi Infotech Park, MIDC, Phase-2, Hinjewadi Pune 411 057 411057",Pune,Maharashtra,Prabhakar Shetty,9822050622,9822050622,prabhakar.shetty@tamannahotels.com,www.tamannahotels.com,Star Category,3 Star,21,27/06/2016,26/06/2021
130317AS3433,170622AS3001,IBIS HOTEL - HINJEWADI (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"No.1 A, International Biotech Park, Zone - A, Rajiv Gandhi I.T,  B.T.Park, MIDC - Phase II, Hinjewadi, Pune - 411057, India. 411057",Pune,Maharashtra,Lionel Leo,9840961533,91-124-4392900,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,136,20/06/2017,19/06/2022
061017AS4357,171222AS4001,Lemon Tree Premier -A Unit of Fleur Hotels Pvt Ltd.,"Sangamwadi, T.P. Scheme No. 13 Plot No. 15 & 15A,Connaught Road,",Pune,Maharashtra,Surinder Shukla,8587806977,911146050101,surinder.shukla@greyfoxprojects.com,www.lemontreehotels.com,Star Category,4 Star With Alcohol,199,19/12/2017,18/12/2022
090316AS4868,0101014SA186,Lemon Tree Premier,"Sangamwadi, T.P Scheme No 13, Plot No 15 & 15 A, Cannaught Road, Pune",Pune,Maharashtra,Mayank Sharma,9891689456,9911701701,mayank.sharma@lemontreehotels.com,lemontreehotels.com,Star Category,4 Star With Alcohol,74,22/03/2016,21/03/2021
160516AS5185,0101015SA237,Radisson Blu Hinjewadi Pune (Earlier Country Inn and Suites by Carlson),"Sur. No.136 l 1 Behind Mercedes Benz International School,Hinjewadi Phase - l, Pune 411057",Pune,Maharashtra,Sanjay Saxena,9967920008,67748000,admin@cispune.in,www.wadhawangroup.com,Star Category,5 Star With Alcohol,151,02/06/2016,01/06/2021
300516AS5215,0101015SA678,ANANDA IN THE SAHYADRIS,"Gut No. 154, Village Tareghar - Keladwadi, P.O. Khargaon, Taluka Roha, District Raigad, Pin-402109 402109",Raigad,Maharashtra,Aniruddha P. Deshpande,9891506333,020-25654555,dmmuthe@yashomala.com,,Star Category,5 Star With Alcohol,132,11/08/2016,10/08/2021
061015AS3886,0101013SA031,Yash Regency,"1364 - 5, 6 Jawali Plot, Agalgaon Road, Near Yash Lawn, Barshi, District Solapur 413401",Solapur,Maharashtra,Vinod Dilip Budukh,9404300201,9767173300,budukhs@yahoo.com,,Star Category,3 Star,20,16/11/2016,15/11/2021
020519AS3641,190824AS3887,Goldfinch Hotel,"Plot No.D-264, TTC Industrial Area, Village Mahape, Navi Mumbai-400710 400710",Thane,Maharashtra,Roopa Raikar,8660761547,08049195100,srvp.secretary@groupmrg.com,www.groupmrg.com,Star Category,3 Star,95,09/08/2019,08/08/2024
170216ASA691,0101015SA509,CROWNE PLAZA PRATHAM,"Plot No. 6, Sector 14 (North), City Centre, Dwarka, 110075",Delhi,New Delhi,ANIL SOBTI,9811612189,48584400,sobtianil@hotmail.com,www.vegasmall.in,Star Category,5 Star With Alcohol,318,14/07/2016,13/07/2021
050617AHB700,180423AHB160,The Sunrydge,"6-8 One Style Mile, Kalka Das Marg, Mehrauli, New Delhi 110030",New Delhi,New Delhi,Sanjeev Batra,9910893030,011-65152597,pjthareja@sunrydge.com,,Heritage,Basic,45,25/04/2018,24/04/2023
020519AS3637,190624AS3765,Navayuga Hotels and Resorts ( Trade Name - NILAY RESIDENCY ),"Plot No. 36A, Chandaka Industrial Estate, Near Infocity Square, Bhuabneswar, 751024 751024",Bhubaneswar,Odisha,Sanjay Pratap,9937231940,9937231940,sanjaypratap66@gmail.com,https://navayugahotel.com/,Star Category,3 Star,36,04/06/2019,03/06/2024
240818AS3416,181023AS3398,THE RESIDENCY (RKR HOTELS PRIVATE LIMITED),"260-1 Anna Salai, Puducherry  605001",Pondicherry,Puducherry,PRABHAKARAN,9626263330,28156363,finance@theresidency.com,www.theresidency.com,Star Category,3 Star,75,12/10/2018,11/10/2023
071116AS4119,0101014SA002,COURTYARD BY MARRIOTT,"Plot No. 30 (Old) and New Plot No. 52, Bearing Khasra No. 1959 MIN, Khasra No. 3883|1958-1959 MIN in Vakia Rakba Amritsar Urban, Circle No. 110, Mall Road, Mata Kaulan Ji Marg, Tehsil and District Amritsar (Punjab)",Amritsar,Punjab,S. Sunny Kochar,8800471236,9716666668,sunnykochar@gmail.com,,Star Category,4 Star With Alcohol,91,20/12/2016,19/12/2021
191015ASD944,0101015SA106,PARK PLAZA JALANDHAR,"B-XIII-294, Police Lines, Jalandhar 144001",Jalandhar,Punjab,Mr. Amit Chopra,9891506333,0181-3067200,amitchopra5@gmail.com,,Star Category,5 Star With Alcohol,72,29/01/2016,28/01/2021
121216AS4222,191024AS4111,Radisson Red,Plot No 1 Phase IX  SAS Nagar Mohali  160062,Mohali,Punjab,Rajesh Chopra,9818537772,01722970772,rajesh@bestechgroup.com,,Star Category,4 Star With Alcohol,153,16/10/2019,15/10/2024
080715ASD326,150420DSA001,Medley Hotels & Resorts Pvt. Ltd,"Mile Stone No. 58, Agra-Jaipur Highway Village Paharsar Teh. Nadbai,Distt. Bharatpur",Bharatpur,Rajasthan,Sanjiv Chadha,9810432344,01292286875,sanjivchadha55@yahoo.co.in,,Star Category,5 Star Deluxe,80,17/04/2015,16/04/2020
220816AS4816,0101014SA708,BUENA VISTA RESORTS,"Khasara No. 235/2/6, Village - Naradpura, Jamwaramgarh, Distt. Jaipur, Rajasthan",Jaipur,Rajasthan,Malika Kapoor,8800471236,8800471236,accounts@jlbtours.com,,Star Category,4 Star With Alcohol,52,20/09/2016,19/09/2021
290915AS5860,0101015SA052,INDANA PALACE JAIPUR,"Khasra No. 28, to 34 & 130 to 135, Near Police Check Post Kunda, Jaipur Delhi Highway, Village – Nagal Susavtan,Tal.- Amer. Dist. Jaipur - 302028 400069",Jaipur,Rajasthan,P. C. VERMA,9987026660,02267319500,verma.pc@indanahotels.com,www.indanahotels.com,Star Category,5 Star With Alcohol,118,20/10/2015,19/10/2020
090518AS3137,191224AS3236,SGS Hotels and Resorts Private Limited,"Sariska Manor, Tehla Gate, Tehla Village, Sariska National Park, Rajgarh (Alwar),  301410",Rajgarh (Alwar),Rajasthan,Gajendra Singh Panwar,9810065575,01141655801,sgspanwar@gmail.com,sariskamanor.com,Star Category,3 Star,26,06/12/2019,05/12/2024
290817AS4251,171122AS4006,Lemon Tree Premier - A Unit of Fleur Hotels Pvt. Ltd.,"Plot No 1, Khasra No 979-981, Kalarohi, Sisarma, Tehsil GIrwa, District Udaipur",Udaipur,Rajasthan,Surinder Shukla,9810184189,911146050101,surinder.shukla@greyfoxprojects.com,,Star Category,4 Star With Alcohol,105,20/11/2017,19/11/2022
081116AS3121,0101013SA056,A.R.RESORTS,"SURVEY NO.354 AND 355 PARTS, E.C.R.ROAD,VADANAMMELI VILLAGE, CHENGALPUT TALUK,KANCHEEPURAM DISTRICT.(ADJACENT TO CROCODILE BANK) 603104",Chennai,Tamil Nadu,D.VIDYA SAGA REDDY,9791008872,04445908888,SHOETEK@ETH.NET,,Star Category,3 Star,118,22/02/2017,21/02/2022
111217AS3531,180123AS3001,KAY-EM LUXURY HOTELS AND RESORTS PRIVATE LIMITED,"1-226, SERVICE ROAD, NEAR JESUS CALLS, VANAGARAM 600095",Chennai,Tamil Nadu,S. KHAJA MOHIDEEN,9710433555,04445575106,INFO@KAY-EM.COM,,Star Category,3 Star,85,09/01/2018,08/01/2023
191015AS4943,0101014SA055,CITADINES OMR APARTHOTEL PRIVATE LIMITED,"SF No: 494, 1A1C1A, No.290 Old Mahabalipuram Road, Sholinganallur Village, Tambaram - Taluk 600119",Chennai,Tamil Nadu,Mr.Ajit Koushik,9176638013,71117111,ajit.koushik@the-ascott.com,www.the-ascott.com,Star Category,4 Star With Alcohol,269,02/11/2015,01/11/2020
220618AS4275,181023AS4391,MADRAS HOUSE,"'VR CHENNAI,NO 44 , PILLAYAR KOIL STREET, JAWAHARLAL NEHRU ROAD, 600040",Chennai,Tamil Nadu,Varalakshmi,9176638064,9176638064,varalakshmi_mv@virtuousretain.com,www.vrchennai.in,Star Category,4 Star With Alcohol,20,05/10/2018,04/10/2023
310816AS4846,170522AS4005,SAK BUILDTECH PVT. LTD.,"CP-8 Oragadam, Sipcot Survey No. 23Pa, 24Pa, 25Pa, Chengalpattu, Kanchipuram District, Sriperumbadur - 602 105,Tamil Nadu 602105",Chennai,Tamil Nadu,Mr. Neeraj Govil,9810033393,9810033393,neeraj.govil@smppl.in,,Star Category,4 Star With Alcohol,93,29/05/2017,28/05/2022
270817AS3250,151220AS3003,IBIS HOTEL - COIMBATORE (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"BLOCK NO: 17, NEW TOWN SURVEY NO. 1084 2, PULIYA KULAM ROAD, COIMBATORE - 641 037, TAMIL NADU, INDIA.  641037",Coimbatore,Tamil Nadu,LIONEL ARTHUR,9840961533,01244556000,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,129,30/12/2015,29/12/2020
181215AS3379,0101013SA082,IBIS HOTEL - COIMBATORE (UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"BLOCK NO.17, NEW TOWN, SURVEY NO: 1084 2, PULIYA KULAM ROAD, COIMBATORE - 641037, TAMIL NADU, INDIA  641037",Coimbatore,Tamil Nadu,LIONEL LEO,9840961533,01244392900,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,129,04/01/2016,03/01/2021
090316AS5870,170522AS5012,MY FORTUNE COIMBATORE,"T.S.No.1266-14,Ward(A)1,Block 23 in door No.27 to 30, West Club Road, 641018",Coimbatore,Tamil Nadu,Mr.Bhanu Dwarkani,9650946104,04224223051,bhanu.dwarkani@itchotels.in,,Star Category,5 Star With Alcohol,103,15/05/2017,14/05/2022
190317AS3455,170622AS3003,Pushpam Realty Resort,"Sy 271 Kalukondapalli Village, Denkanikota Taluk, Krishnagiri District",Hosur,Tamil Nadu,Dr Reddy,7760988240,7760988240,drreddy@pushpamgroup.in,www.pushpamgroup.in,Star Category,3 Star,96,13/06/2017,12/06/2022
130916AS4886,180823AS4327,R.S.RESEARCH AND MEDICAL CENTRE PRIVATE LIMITED,"S.NO. 13 1A, - 34, EGATTUR VILLAGE, THIRUPORUR TALUK, KANCHEEPURAM DISTRICT - 603103 603103",Kancheepuram,Tamil Nadu,Lionel - LEO,9840961533,044-24735716,leolionel@yahoo.com,www.zaubacorp.com,Star Category,4 Star With Alcohol,120,28/08/2018,27/08/2023
051117AHB433,180323AHB094,The Tamara Kodaikanal Heritage Resort,"Sy No. 264, TS No. 1|1, Ward B, Block 21, St Mary's Road, Kodaikanal 624101",Kodaikanal,Tamil Nadu,Vinod Kumar C,9008000331,9008000331,vinod@tamaraprojects.com,www.thetamara.com,Heritage,Basic,53,27/03/2018,26/03/2023
281115ASD225,0101013SA093,Silver Streak Hotels Pvt. Ltd.,"S. No. 245 1A 1B, near Five Rathas, Venpurusham Village, Mamallapuram 603104",Mamallapuram,Tamil Nadu,Lakshmi Srinivasan,9360013511,04427443333,sales@hotelashreya.com,,Star Category,3 Star,42,12/01/2016,11/01/2021
180216AS3693,0101013SA659,sky inn services,"Plot No.B-2, Survey No. 6-1, Quite Lands, Gachibowli, Hyderabad Hyderabad 500032",Hyderabad,Telangana,Sanjay Bathla,9848005250,040-40131777,sanjaybathla@gmail.com,,Star Category,3 Star,35,08/08/2016,07/08/2021
080819AS5439,190924AS5962,Chalet Hotels Ltd - Westin Hitec City Hotel,"""Building -22"" Survey No. 64 (pt), Hitec City, Madhapur, Hyderabad 500081",Hyderabad,Telangana,Amit Aeer,9819528590,26564000,amit.aeer@chalethotels.com,www.kraheja.com,Star Category,5 Star With Alcohol,168,01/10/2019,30/09/2024
171115ASD173,0101015SA212,ITC Limited- ITC Kohenur,"Plot no. 5, Hyderabad Knowledge City, Raidurg, Near Madhapur, Oppo, Inorbit Mall, Hyderabad Hyderabad 500081",Hyderabad,Telangana,Uttam Agarwal,9949844077,04023147806,uttam.agarwal@itchotels.in,,Star Category,5 Star With Alcohol,291,27/04/2016,26/04/2021
250715AS3471,0101013SA003,Greenfields Resort,"Survey No 496,496A,497,382A &383A Kanakamamidi Village, Moinabad Mandal, Ranga Reddy District 501504",RANGA REDDY,Telangana,Ananya Giri,9963688820,23406560,dvenkat.229@gmail.com,,Star Category,3 Star,59,27/08/2015,26/08/2020
210619AS3980,191224AS3237,Country Inn and Suites,"Plot No CP3,Lohia Vihar,Bareilly-243502,Uttar Pradesh,India 243502",Bareilly,Uttar Pradesh,Aakash Nigam,8448080604,01140500000,info@sikka.in,www.sikka.in,Star Category,3 Star,45,06/12/2019,05/12/2024
080715AS5325,0101015SA066,Hyatt Regency Lucknow,"Plot No. TC13 V1 Vibhuti Khand Gomti Nagar - Uttar Pradesh, Pin: 206010 206010",Lucknow,Uttar Pradesh,Ankit Poddar,9920700795,02266761000,ankitpoddar@juniperhotels.com,,Star Category,5 Star With Alcohol,183,19/11/2015,18/11/2020
300718AS5374,181123AS5440,"Westin Resort, Narender Nagar","Khasra No. 605, Village Narender Nagar, (Adjoining Police Training Center), Town Patti, Dhamandasu, Tehsil Narender Nagar, Tehri Garwal, Uttarakhand-249175 249175",Tehri,Uttrakhand,Manoj Naithani,9810875390,9810875390,manoj.naithani@mahanandahotels.com,mahanandasparesort.com,Star Category,5 Star With Alcohol,139,20/11/2018,19/11/2023
100615AS3113,0101013SA001,HOTEL CLASSIC INN,"M.G ROAD, PO. PS. JAIGAON, DIST.- ALIPURDUAR 736182",Alipurduar,West Bengal,SOUJANYA SANYAL,9932746177,9932746177,GORAJLP@GMAIL.COM,,Star Category,3 Star,28,12/08/2015,11/08/2020
070117AS3269,170722AS3001,Hotel Annapurna,"COLLEGE ROAD, BISHNUPUR, BANKURA, PIN CODE - 722122  722122",Bishnupur,West Bengal,Satadal Dutta,8001600365,8001600365,d_satadal@yahoo.com,,Star Category,3 Star,50,28/07/2017,27/07/2022
281218AS3732,170722AS3504,HOTEL ANNAPURNA,"COLLEGE ROAD ,P.O- BISHNUPUR, DIST-BANKURA,  722122",Bishnupur,West Bengal,SUJIT KUMAR DUTTA,9609601718,03244252255,annapurnahotel2018@gmail.com,www.annapurnahotel.in,Star Category,3 Star,47,28/07/2017,27/07/2022
300418AS3110,180723AS3277,IBIS HOTEL - KOLKATA (A UNIT OF INTERGLOBE HOTELS PRIVATE LIMITED),"NO:30 - 1111, PLOT NO. BG - 9, STREET NO: 1111, NEW TOWN, POLICE STATION DISTT. NORTH 24,  PARGANAS,  KOLKATA - 700156, WEST BENGAL 700156",Kolkata,West Bengal,LIONEL LEO,9840961533,01244392900,leolionel@yahoo.com,www.interglobehotels.com,Star Category,3 Star,189,19/07/2018,18/07/2023
250118AS4662,180623AS4232,LEMON TREE PREMIER ( A UNIT OF FLEUR HOTELS (P) LTD.,"PREMISES NO. 30-1111, STREET NO.1111, PLOT NO. B.G. 9, BLOCK NO. 1B, MAUZA THAKDARI J.L. NO. 19, MASHIBATHAN-II, NEW TOWN DISTRICT NORTH 24, PARAGANAS, KOLKATA, WEST BENGAL 700156",Kolkata,West Bengal,SURINDER SHUKLA,9810184189,011-46050101,SURINDER.SHUKLA@GREYFOXPROJECTS.COM,WWW.LEMONTREEHOTELS.COM,Star Category,4 Star With Alcohol,142,11/06/2018,10/06/2023
060619ABG870,190821ABG777,GANGA NIWAS,"PRINCEP 1, FLAT 24PH2, CORE-D, RIVERSIDE DEVELOPMENT, 1 NEW BATANAGAR, KOLKATA-700040 700040",Kolkata,West Bengal,Mrs. RAJ SHANTANU MITRA,9007999782,9007999782,ganganiwas24ph@gmail.com,www.ganganiwas.com,Bed&Breakfast/Homestay,B&B-Gold,3,02/08/2019,01/08/2021
